epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,347.373,1.72119,2.65925,2.0843,1.38098,0.39931,0.22791,0.27494,0.15176,0.73414,0.20321,0.27183,0.15068,1.90315,2.76032,2.38468,1.55635,0.00065861,0.00065861,0.00065861
31,358.383,1.75493,2.61895,2.1148,1.40411,0.56099,0.32561,0.32864,0.173,0.47401,0.29018,0.26324,0.15083,1.84611,2.88774,2.17399,1.59578,0.000654804,0.000654804,0.000654804
32,369.883,1.77148,2.6869,2.11208,1.40331,0.4409,0.21693,0.29034,0.15543,0.29098,0.33121,0.30456,0.1546,1.90841,2.6128,2.40472,1.55261,0.000650997,0.000650997,0.000650997
33,380.878,1.74327,2.63501,2.00756,1.37951,0.34504,0.34178,0.31053,0.15786,0.26641,0.31311,0.27476,0.14653,1.87428,2.61903,2.23338,1.53679,0.00064719,0.00064719,0.00064719
34,392.009,1.68556,2.58771,1.98974,1.34803,0.39255,0.32421,0.31301,0.16148,0.52985,0.33324,0.36114,0.14983,1.92344,2.73317,2.32011,1.54818,0.000643384,0.000643384,0.000643384
35,403.262,1.71785,2.60634,2.05892,1.35944,0.65601,0.24379,0.3156,0.17557,0.46437,0.28169,0.30292,0.16374,1.79625,2.66005,2.19463,1.4644,0.000639577,0.000639577,0.000639577
36,414.455,1.7282,2.55531,2.01685,1.36739,0.54481,0.32388,0.34809,0.17362,0.65374,0.30884,0.34721,0.16417,1.87974,2.63651,2.36002,1.52933,0.000635771,0.000635771,0.000635771
37,425.62,1.6923,2.57364,1.98586,1.36205,0.36804,0.35702,0.33626,0.17214,0.6392,0.2833,0.32818,0.18502,1.84125,2.51992,2.25097,1.55109,0.000631964,0.000631964,0.000631964
38,436.984,1.70266,2.56603,1.99033,1.38113,0.40692,0.39602,0.33872,0.18993,0.41301,0.3535,0.32802,0.1693,1.81792,2.5514,2.18392,1.47404,0.000628158,0.000628158,0.000628158
39,448.097,1.6979,2.52924,1.93086,1.35919,0.45432,0.24969,0.29507,0.17139,0.21976,0.34501,0.27592,0.14713,1.89467,2.8366,2.35029,1.56362,0.000624351,0.000624351,0.000624351
40,459.274,1.70256,2.52471,1.93942,1.34586,0.40846,0.36369,0.33249,0.17279,0.51231,0.29502,0.34528,0.17159,1.90341,2.57368,2.29399,1.50476,0.000620545,0.000620545,0.000620545
41,470.688,1.6797,2.46063,1.93053,1.36101,0.42609,0.33751,0.31511,0.17313,0.22313,0.37638,0.29706,0.15321,1.85346,2.74194,2.27121,1.57001,0.000616738,0.000616738,0.000616738
42,481.737,1.63353,2.41183,1.88871,1.32241,0.56179,0.31952,0.34728,0.1893,0.43512,0.28705,0.34934,0.18642,1.88732,2.66097,2.17084,1.51502,0.000612931,0.000612931,0.000612931
43,492.772,1.64109,2.42023,1.84819,1.31297,0.47352,0.27465,0.31216,0.18518,0.30731,0.40607,0.31681,0.17133,1.82045,2.72995,2.25824,1.49758,0.000609125,0.000609125,0.000609125
44,504.142,1.63619,2.47796,1.86351,1.31557,0.5106,0.28489,0.34149,0.19348,0.42266,0.35684,0.3841,0.1959,1.89126,2.655,2.15184,1.54122,0.000605318,0.000605318,0.000605318
45,515.128,1.61764,2.43652,1.83785,1.30615,0.30718,0.4107,0.3511,0.17743,0.33897,0.42442,0.33164,0.16488,1.87786,2.63841,2.14636,1.53172,0.000601512,0.000601512,0.000601512
46,526.369,1.61621,2.38872,1.77623,1.31574,0.37876,0.37823,0.34491,0.20493,0.64621,0.32949,0.36978,0.17131,1.84148,2.71701,2.0694,1.45531,0.000597705,0.000597705,0.000597705
47,537.752,1.59225,2.34539,1.77794,1.29621,0.38787,0.29757,0.30757,0.16272,0.47069,0.30042,0.34931,0.16363,1.90644,2.5266,2.28322,1.54622,0.000593899,0.000593899,0.000593899
48,548.751,1.61044,2.35402,1.78623,1.29986,0.43403,0.33961,0.35085,0.18873,0.42938,0.34777,0.34988,0.1786,1.87312,2.54793,2.16167,1.47108,0.000590092,0.000590092,0.000590092
49,560.005,1.59727,2.34396,1.77691,1.30403,0.41261,0.37175,0.37931,0.20473,0.41725,0.3938,0.39102,0.19652,1.88278,2.72482,2.07973,1.49893,0.000586286,0.000586286,0.000586286
50,571.511,1.55736,2.32199,1.71695,1.28384,0.32497,0.46495,0.38257,0.21158,0.39014,0.41118,0.37888,0.20355,1.80609,2.64819,2.03192,1.49144,0.000582479,0.000582479,0.000582479
51,582.409,1.56139,2.33928,1.6923,1.28018,0.4609,0.39198,0.39551,0.21883,0.44418,0.35611,0.36133,0.20992,1.76302,2.58277,2.17505,1.48691,0.000578672,0.000578672,0.000578672
52,593.686,1.57209,2.35468,1.68099,1.28298,0.63895,0.3466,0.39713,0.21871,0.51193,0.41541,0.43189,0.2175,1.825,2.65536,2.19258,1.53018,0.000574866,0.000574866,0.000574866
53,605.14,1.56883,2.32956,1.71111,1.27916,0.73708,0.35339,0.39486,0.22696,0.65203,0.28425,0.38376,0.1936,1.76053,2.6673,2.14799,1.49134,0.000571059,0.000571059,0.000571059
54,616.131,1.56703,2.26207,1.66709,1.27805,0.40662,0.35644,0.41527,0.2337,0.50105,0.32156,0.34213,0.19862,1.78458,2.75512,2.13262,1.4206,0.000567253,0.000567253,0.000567253
55,627.317,1.57855,2.33559,1.72413,1.28585,0.35022,0.4278,0.37785,0.20311,0.41306,0.37396,0.36792,0.175,1.82557,2.72061,2.01546,1.48069,0.000563446,0.000563446,0.000563446
56,638.554,1.54049,2.24288,1.66286,1.26787,0.47712,0.34066,0.38977,0.2367,0.4729,0.43073,0.4126,0.22662,1.74709,2.46032,2.00415,1.46042,0.00055964,0.00055964,0.00055964
57,649.628,1.55635,2.31456,1.66375,1.25549,0.48255,0.33216,0.36783,0.23347,0.41745,0.3602,0.36755,0.22524,1.73028,2.60289,2.0267,1.42793,0.000555833,0.000555833,0.000555833
58,661.013,1.52134,2.27039,1.62383,1.2491,0.47915,0.41286,0.38452,0.21867,0.44609,0.37534,0.36732,0.19919,1.77448,2.59592,2.07589,1.47258,0.000552027,0.000552027,0.000552027
59,672.194,1.55106,2.25079,1.61971,1.27367,0.35817,0.455,0.39406,0.23865,0.39592,0.38704,0.35569,0.18266,1.79182,2.79009,2.06716,1.46525,0.00054822,0.00054822,0.00054822
60,683.204,1.501,2.27836,1.58796,1.23983,0.4,0.45438,0.4047,0.23594,0.35734,0.40921,0.33407,0.17853,1.7541,2.69534,2.09232,1.46484,0.000544414,0.000544414,0.000544414
61,694.511,1.52847,2.28985,1.6097,1.25541,0.32801,0.44002,0.34436,0.21288,0.30662,0.39294,0.35761,0.19264,1.74744,2.57134,2.08513,1.45956,0.000540607,0.000540607,0.000540607
62,705.898,1.49336,2.25103,1.55633,1.23924,0.37126,0.42347,0.3856,0.24461,0.28571,0.39373,0.35674,0.19288,1.72904,2.6757,2.06677,1.46883,0.0005368,0.0005368,0.0005368
63,716.828,1.47449,2.18535,1.56859,1.23178,0.34586,0.47504,0.40651,0.22496,0.39297,0.46002,0.41035,0.20638,1.82216,2.62438,2.02249,1.51293,0.000532994,0.000532994,0.000532994
64,728.036,1.49285,2.18265,1.56144,1.25764,0.46601,0.39637,0.42996,0.23748,0.44001,0.36977,0.41038,0.23562,1.86671,2.44504,2.03458,1.50429,0.000529187,0.000529187,0.000529187
