epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,496.593,1.64045,2.2557,1.65814,1.33345,0.54609,0.38265,0.33232,0.17203,0.67109,0.38577,0.41519,0.1695,1.97328,3.09893,2.35177,1.58292,0.000695407,0.000695407,0.000695407
31,512.705,1.65334,2.29217,1.65828,1.32307,0.40751,0.35602,0.33477,0.16745,0.50589,0.43452,0.37826,0.16136,1.85067,3.01055,2.38049,1.50819,0.000692869,0.000692869,0.000692869
32,528.752,1.64039,2.28129,1.65623,1.3109,0.58495,0.41288,0.4474,0.21808,0.589,0.39723,0.44052,0.21078,1.92876,3.27493,2.39382,1.60923,0.000690331,0.000690331,0.000690331
33,544.961,1.636,2.24323,1.60971,1.30332,0.27207,0.28773,0.26625,0.13682,0.34045,0.32318,0.29953,0.13883,2.0239,3.06514,2.5692,1.66642,0.000687794,0.000687794,0.000687794
34,561.206,1.61323,2.23178,1.58464,1.28631,0.30441,0.44099,0.30055,0.15765,0.34779,0.38771,0.34054,0.14821,2.02546,2.94647,2.46832,1.64856,0.000685256,0.000685256,0.000685256
35,577.259,1.61392,2.19581,1.56269,1.28986,0.36321,0.37983,0.34017,0.15778,0.46294,0.41755,0.38123,0.18102,1.95929,2.89024,2.36522,1.60277,0.000682718,0.000682718,0.000682718
36,593.34,1.59775,2.26793,1.54611,1.29421,0.40166,0.42022,0.4437,0.2324,0.44094,0.43689,0.47569,0.2365,1.85888,2.99722,2.16742,1.48623,0.000680181,0.000680181,0.000680181
37,609.566,1.55156,2.13422,1.49805,1.25985,0.52644,0.41195,0.40495,0.23871,0.53228,0.42176,0.40652,0.20493,1.91367,2.95393,2.1558,1.53588,0.000677643,0.000677643,0.000677643
38,625.599,1.56233,2.11551,1.47393,1.26682,0.45353,0.33768,0.35842,0.18755,0.24769,0.34817,0.32953,0.17257,2.04035,3.02375,2.31443,1.6431,0.000675105,0.000675105,0.000675105
39,641.585,1.55592,2.08262,1.46035,1.25091,0.52419,0.45972,0.47491,0.24264,0.51349,0.46583,0.45793,0.2424,1.96979,3.03491,2.20121,1.52526,0.000672567,0.000672567,0.000672567
40,657.841,1.51902,2.12578,1.44681,1.23835,0.79936,0.39581,0.49574,0.27345,0.65389,0.39654,0.473,0.24404,1.84917,2.82927,2.02729,1.49275,0.00067003,0.00067003,0.00067003
41,674.147,1.50116,2.11267,1.39102,1.23257,0.38314,0.47841,0.41101,0.19814,0.45054,0.41733,0.41091,0.18365,1.90072,3.20719,2.3157,1.46898,0.000667492,0.000667492,0.000667492
42,690.339,1.52773,2.11594,1.40693,1.22122,0.56379,0.41154,0.48288,0.24558,0.4856,0.4046,0.44932,0.24558,1.87261,2.93728,2.2288,1.46392,0.000664954,0.000664954,0.000664954
43,706.355,1.51906,2.13579,1.4529,1.24479,0.44728,0.40609,0.4122,0.24003,0.49514,0.40727,0.41523,0.20641,1.97629,3.15711,2.26496,1.498,0.000662417,0.000662417,0.000662417
44,722.412,1.53585,2.1491,1.44773,1.25637,0.42494,0.46594,0.41939,0.20295,0.4761,0.41306,0.38849,0.19286,2.02794,2.94329,2.16094,1.55842,0.000659879,0.000659879,0.000659879
45,738.474,1.47554,2.07096,1.38759,1.22943,0.38409,0.33531,0.38114,0.20206,0.46146,0.37929,0.39459,0.19011,1.97389,2.78733,2.24958,1.59143,0.000657341,0.000657341,0.000657341
46,754.517,1.49571,2.06708,1.39325,1.24203,0.4043,0.41694,0.3815,0.15514,0.38599,0.40312,0.34168,0.15038,2.00529,2.92299,2.38854,1.61655,0.000654804,0.000654804,0.000654804
47,770.604,1.49409,2.07194,1.39991,1.22637,0.2947,0.55068,0.42812,0.21897,0.26715,0.51444,0.40284,0.2004,1.84097,3.10635,2.20364,1.46333,0.000652266,0.000652266,0.000652266
48,786.558,1.46933,1.99336,1.32963,1.21239,0.29937,0.42083,0.33381,0.16229,0.44236,0.41481,0.35237,0.16608,1.96867,2.83303,2.25298,1.51475,0.000649728,0.000649728,0.000649728
49,802.586,1.46955,2.06319,1.33652,1.20087,0.52907,0.39167,0.43031,0.2448,0.49985,0.38056,0.40838,0.24184,1.92886,3.04364,2.17302,1.51972,0.00064719,0.00064719,0.00064719
50,818.594,1.4284,2.01819,1.27442,1.20815,0.51732,0.47812,0.464,0.24176,0.45053,0.43851,0.40589,0.2199,1.93795,3.17682,2.10691,1.50843,0.000644653,0.000644653,0.000644653
51,834.673,1.46301,1.99816,1.3223,1.20916,0.35299,0.48899,0.38213,0.19534,0.33753,0.50239,0.37426,0.2034,2.09086,2.97804,2.4363,1.65246,0.000642115,0.000642115,0.000642115
52,850.696,1.43964,1.99836,1.27794,1.19564,0.5483,0.35602,0.40366,0.21988,0.49009,0.31991,0.34105,0.20441,1.93926,3.05739,2.28241,1.54938,0.000639577,0.000639577,0.000639577
53,866.773,1.38949,1.97258,1.23751,1.17548,0.46153,0.54814,0.47213,0.23809,0.45254,0.53314,0.45686,0.20402,1.9405,3.063,2.00603,1.52398,0.00063704,0.00063704,0.00063704
54,882.908,1.41016,1.99179,1.2506,1.17323,0.36843,0.55021,0.4139,0.19143,0.41418,0.46019,0.40902,0.1742,2.00434,3.1573,2.17089,1.56792,0.000634502,0.000634502,0.000634502
55,898.954,1.41001,1.94316,1.25642,1.18792,0.41701,0.49529,0.44932,0.22846,0.39035,0.47528,0.42296,0.20751,1.96777,3.07008,2.08622,1.59193,0.000631964,0.000631964,0.000631964
56,915.05,1.41402,1.93427,1.24397,1.17664,0.38516,0.46065,0.43018,0.22638,0.59639,0.40239,0.42403,0.19695,2.02047,2.98963,2.25508,1.58815,0.000629427,0.000629427,0.000629427
57,931.165,1.40354,1.98359,1.21592,1.16827,0.5784,0.40695,0.41329,0.24207,0.60931,0.48019,0.4441,0.21253,1.99545,2.89794,2.18555,1.52992,0.000626889,0.000626889,0.000626889
58,947.234,1.37893,1.94637,1.23557,1.17669,0.59901,0.42361,0.51355,0.25358,0.57744,0.4125,0.50129,0.23003,1.89039,2.84537,2.12004,1.49125,0.000624351,0.000624351,0.000624351
59,963.329,1.39347,1.8905,1.21383,1.15603,0.52587,0.52836,0.50889,0.27252,0.48186,0.4851,0.47062,0.27706,1.86746,3.05879,2.1294,1.46824,0.000621813,0.000621813,0.000621813
60,979.553,1.3759,1.88519,1.18846,1.15566,0.59021,0.52545,0.53673,0.26881,0.56631,0.51434,0.50388,0.23492,1.858,2.94721,2.03959,1.47306,0.000619276,0.000619276,0.000619276
61,995.655,1.39843,1.88742,1.19293,1.16662,0.5512,0.54213,0.4972,0.23024,0.52703,0.50741,0.488,0.20958,1.86575,2.9957,2.12864,1.43429,0.000616738,0.000616738,0.000616738
62,1011.62,1.39447,1.93051,1.17047,1.15233,0.41684,0.41204,0.39207,0.1783,0.45353,0.45487,0.35098,0.16637,2.11356,2.9427,2.27485,1.63736,0.0006142,0.0006142,0.0006142
63,1027.66,1.35117,1.89155,1.1591,1.15062,0.41449,0.43383,0.39711,0.19642,0.40428,0.40892,0.39007,0.17089,2.07261,3.03932,2.41931,1.56777,0.000611663,0.000611663,0.000611663
64,1043.78,1.34669,1.87565,1.14617,1.14256,0.34192,0.49545,0.3789,0.16104,0.33479,0.45914,0.38634,0.15088,2.13522,3.04933,2.12683,1.64577,0.000609125,0.000609125,0.000609125
65,1059.79,1.3363,1.87085,1.13218,1.13256,0.52013,0.49115,0.41163,0.24053,0.49032,0.49256,0.39101,0.20818,1.87126,2.90146,2.23656,1.52223,0.000606587,0.000606587,0.000606587
66,1075.81,1.34994,1.87923,1.14279,1.14732,0.43255,0.48742,0.43654,0.22196,0.33907,0.47527,0.40044,0.21754,1.9738,3.0731,2.03001,1.47492,0.00060405,0.00060405,0.00060405
67,1091.85,1.33456,1.82083,1.10215,1.13026,0.5033,0.51116,0.48427,0.24078,0.62469,0.40741,0.49148,0.23241,2.02287,2.96619,2.14737,1.54704,0.000601512,0.000601512,0.000601512
68,1107.99,1.31742,1.85517,1.10591,1.1318,0.53238,0.37553,0.43139,0.2322,0.65147,0.33934,0.40325,0.19409,2.10622,3.10364,2.21343,1.63203,0.000598974,0.000598974,0.000598974
69,1124.06,1.30692,1.80563,1.09797,1.10593,0.51118,0.45212,0.4657,0.26857,0.48605,0.43313,0.42626,0.23756,1.96852,3.11682,2.19061,1.47811,0.000596436,0.000596436,0.000596436
70,1140.12,1.32366,1.78761,1.11422,1.1212,0.48827,0.52477,0.42916,0.20328,0.46951,0.51607,0.45669,0.19391,1.85704,3.09752,2.21043,1.48386,0.000593899,0.000593899,0.000593899
71,1156.17,1.3132,1.82174,1.09981,1.12209,0.39649,0.51205,0.42863,0.20817,0.46203,0.42222,0.41698,0.18218,1.94962,3.07843,2.17353,1.50953,0.000591361,0.000591361,0.000591361
72,1172.25,1.29909,1.768,1.08109,1.11216,0.65543,0.39167,0.41714,0.20966,0.61161,0.37923,0.39755,0.18134,2.00997,3.07519,2.44618,1.56174,0.000588823,0.000588823,0.000588823
73,1188.25,1.30123,1.80295,1.06999,1.12187,0.34257,0.4678,0.35024,0.17263,0.3418,0.45542,0.34233,0.14756,2.06831,3.02746,2.27202,1.60057,0.000586286,0.000586286,0.000586286
74,1204.38,1.28245,1.79727,1.05065,1.10578,0.62575,0.3387,0.43707,0.23094,0.62769,0.32847,0.43687,0.23015,1.9352,3.11435,2.17923,1.54615,0.000583748,0.000583748,0.000583748
75,1220.4,1.30412,1.78814,1.0592,1.10798,0.48066,0.52215,0.47472,0.28138,0.45383,0.49215,0.45452,0.2574,1.93651,3.06731,2.14897,1.57584,0.00058121,0.00058121,0.00058121
76,1236.5,1.27348,1.76235,1.05099,1.09348,0.61973,0.42107,0.45161,0.24138,0.61404,0.4181,0.41938,0.21933,1.93648,2.96537,2.12068,1.51788,0.000578672,0.000578672,0.000578672
77,1252.41,1.28635,1.75694,1.04037,1.10637,0.43286,0.51194,0.42005,0.24201,0.3533,0.45454,0.35571,0.21074,1.91566,3.11772,2.17747,1.51815,0.000576135,0.000576135,0.000576135
78,1268.46,1.26829,1.78007,1.0349,1.10449,0.36878,0.49975,0.4372,0.23693,0.53848,0.40082,0.42651,0.22721,1.94267,3.12913,2.19036,1.51519,0.000573597,0.000573597,0.000573597
79,1284.71,1.26965,1.74192,1.01763,1.10281,0.32805,0.5359,0.42045,0.20811,0.3799,0.54324,0.43696,0.20367,2.07946,3.05987,2.25085,1.6478,0.000571059,0.000571059,0.000571059
80,1300.72,1.25851,1.7152,1.00837,1.09553,0.51247,0.38858,0.46103,0.20571,0.50941,0.33397,0.40596,0.19543,2.08444,2.92387,2.40431,1.60453,0.000568522,0.000568522,0.000568522
81,1316.84,1.26884,1.72388,1.00993,1.0902,0.41029,0.46516,0.40955,0.19255,0.40387,0.48553,0.41715,0.206,2.12813,3.25294,2.23604,1.67584,0.000565984,0.000565984,0.000565984
82,1332.82,1.23981,1.708,1.00417,1.08905,0.46281,0.52418,0.49564,0.23188,0.42552,0.5101,0.45159,0.20512,2.03071,3.20856,2.00627,1.56188,0.000563446,0.000563446,0.000563446
83,1348.93,1.24459,1.746,1.01627,1.09957,0.45812,0.50437,0.44683,0.22393,0.5286,0.4287,0.45076,0.20785,2.06953,3.31471,2.21369,1.6252,0.000560909,0.000560909,0.000560909
84,1364.93,1.26078,1.69619,0.9981,1.08656,0.39474,0.50258,0.39651,0.20877,0.41992,0.45187,0.40222,0.18822,2.01262,2.94549,2.38735,1.56564,0.000558371,0.000558371,0.000558371
85,1380.93,1.21232,1.71327,0.96736,1.07846,0.46521,0.51652,0.4834,0.25725,0.39425,0.46457,0.4239,0.25097,2.06993,3.1858,2.27151,1.54826,0.000555833,0.000555833,0.000555833
86,1397.03,1.24009,1.67335,0.98488,1.07845,0.38409,0.49384,0.35392,0.166,0.39833,0.46675,0.37561,0.1813,2.06667,3.1169,2.33499,1.59821,0.000553296,0.000553296,0.000553296
87,1413.18,1.21026,1.70836,0.97603,1.08115,0.53046,0.37441,0.3811,0.19376,0.57573,0.28144,0.32199,0.17341,1.98408,3.1431,2.31192,1.55684,0.000550758,0.000550758,0.000550758
88,1429.16,1.24816,1.7015,1.01384,1.08401,0.37866,0.50836,0.38376,0.17964,0.33924,0.46982,0.3387,0.17771,2.11368,3.1662,2.67855,1.55649,0.00054822,0.00054822,0.00054822
89,1445.23,1.2433,1.69862,0.98785,1.08053,0.63532,0.47426,0.53178,0.2998,0.62332,0.46686,0.50702,0.2712,1.99347,2.94358,2.16942,1.4879,0.000545682,0.000545682,0.000545682
90,1461.33,1.204,1.64019,0.93236,1.06676,0.43412,0.47775,0.45099,0.26328,0.42109,0.43068,0.43911,0.22886,1.89379,3.13853,2.35967,1.45167,0.000543145,0.000543145,0.000543145
91,1477.34,1.21141,1.65476,0.93653,1.06753,0.47978,0.5267,0.4403,0.22515,0.53308,0.44676,0.43578,0.21073,1.97091,3.33062,2.27683,1.49734,0.000540607,0.000540607,0.000540607
92,1493.41,1.20568,1.69897,0.94532,1.06281,0.47284,0.52593,0.51055,0.29919,0.47808,0.46667,0.45473,0.25008,1.86084,3.14644,2.0968,1.43993,0.000538069,0.000538069,0.000538069
93,1509.48,1.19718,1.66128,0.94349,1.05925,0.49654,0.46805,0.45771,0.23941,0.56422,0.425,0.45516,0.21191,1.94237,3.16875,2.0413,1.52455,0.000535532,0.000535532,0.000535532
94,1525.47,1.2284,1.73333,0.93251,1.0619,0.41516,0.51682,0.47131,0.24738,0.34556,0.49633,0.40261,0.19243,2.00763,3.32307,2.10444,1.48519,0.000532994,0.000532994,0.000532994
95,1541.57,1.16408,1.61769,0.88177,1.04384,0.64694,0.41159,0.45799,0.26273,0.57931,0.39954,0.41919,0.21722,1.97044,3.3775,2.36784,1.52938,0.000530456,0.000530456,0.000530456
96,1557.52,1.21645,1.70184,0.92018,1.06009,0.45534,0.51318,0.44712,0.23845,0.66846,0.36338,0.43682,0.21449,2.04797,3.18757,2.20444,1.62028,0.000527919,0.000527919,0.000527919
97,1573.55,1.18182,1.65169,0.92707,1.05828,0.4629,0.46818,0.42088,0.22778,0.42006,0.44639,0.37089,0.1897,2.05751,3.20215,2.24947,1.57655,0.000525381,0.000525381,0.000525381
98,1589.61,1.21186,1.64637,0.93136,1.04663,0.40679,0.44674,0.38036,0.19339,0.51957,0.3662,0.3551,0.17599,1.9748,3.16749,2.49258,1.54974,0.000522843,0.000522843,0.000522843
99,1605.68,1.21379,1.63574,0.9334,1.05228,0.45513,0.4903,0.3824,0.18609,0.40691,0.42103,0.33813,0.15806,2.02609,3.24909,2.59887,1.59041,0.000520305,0.000520305,0.000520305
100,1621.7,1.1685,1.59368,0.90321,1.04901,0.39887,0.4868,0.41273,0.22633,0.45298,0.42916,0.41577,0.21758,2.04861,3.24574,2.50708,1.6158,0.000517768,0.000517768,0.000517768
101,1637.69,1.18842,1.63328,0.9134,1.05229,0.49483,0.56816,0.44023,0.23506,0.43298,0.5259,0.40728,0.21594,1.95462,2.90999,2.43266,1.54777,0.00051523,0.00051523,0.00051523
102,1653.66,1.15067,1.57664,0.90329,1.04175,0.55785,0.38315,0.39738,0.19754,0.53934,0.37308,0.34918,0.18271,2.06445,3.12437,2.48928,1.56777,0.000512692,0.000512692,0.000512692
103,1669.7,1.16211,1.60964,0.87607,1.04871,0.6389,0.32876,0.39969,0.20888,0.62155,0.34847,0.39401,0.19228,2.05154,3.33016,2.17832,1.55654,0.000510155,0.000510155,0.000510155
