epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,457.039,1.81697,2.65186,2.06334,1.37735,0.43231,0.38829,0.37932,0.16864,0.40299,0.35158,0.33909,0.14806,2.02182,3.29539,2.58796,1.60182,0.000751581,0.000751581,0.000751581
31,472,1.77847,2.55439,2.00169,1.37732,0.28018,0.46517,0.3437,0.18571,0.27105,0.45118,0.35944,0.19108,1.94553,2.96659,2.60868,1.58186,0.000750369,0.000750369,0.000750369
32,486.829,1.76008,2.57395,1.95221,1.3657,0.52155,0.43355,0.37691,0.19479,0.48241,0.43147,0.33765,0.1716,1.914,2.9308,2.32819,1.51765,0.000749118,0.000749118,0.000749118
33,501.523,1.73116,2.4725,1.91824,1.32536,0.50829,0.37637,0.38498,0.18783,0.29938,0.43796,0.35503,0.16024,1.85629,3.08877,2.44052,1.47965,0.000747827,0.000747827,0.000747827
34,516.415,1.70315,2.45487,1.85054,1.32767,0.31154,0.4681,0.35964,0.1878,0.29714,0.42729,0.37427,0.18202,1.87641,2.86583,2.41137,1.52978,0.000746496,0.000746496,0.000746496
35,531.269,1.71741,2.45315,1.85575,1.34083,0.3425,0.45891,0.3994,0.18598,0.27252,0.42596,0.3732,0.18612,1.90971,3.02346,2.30772,1.52663,0.000745126,0.000745126,0.000745126
36,546.058,1.7506,2.4636,1.86085,1.33845,0.30622,0.48209,0.28457,0.13816,0.39459,0.35273,0.28337,0.13152,2.01232,3.53158,2.56958,1.60703,0.000743717,0.000743717,0.000743717
37,560.886,1.72911,2.50026,1.8495,1.32841,0.31071,0.43484,0.3909,0.1934,0.39234,0.31884,0.3489,0.18056,1.88944,3.02136,2.32831,1.4953,0.000742269,0.000742269,0.000742269
38,575.824,1.70732,2.43389,1.83772,1.32927,0.44069,0.54914,0.41078,0.18943,0.45728,0.43724,0.39414,0.20174,1.93167,2.97249,2.36185,1.55674,0.000740782,0.000740782,0.000740782
39,590.707,1.71705,2.45965,1.80929,1.32065,0.52113,0.39033,0.40403,0.18056,0.43879,0.36533,0.38887,0.18336,1.82392,3.00542,2.27463,1.4668,0.000739257,0.000739257,0.000739257
40,605.561,1.68149,2.42878,1.75174,1.29192,0.42942,0.48433,0.40704,0.21237,0.42673,0.46792,0.39054,0.2099,1.80518,2.81209,2.27908,1.47725,0.000737693,0.000737693,0.000737693
41,620.348,1.66621,2.39215,1.75224,1.30036,0.51464,0.42778,0.3957,0.18154,0.31624,0.46358,0.35022,0.16475,1.76205,2.80421,2.09231,1.41116,0.000736091,0.000736091,0.000736091
