epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,183.949,0.8746,1.47818,1.06019,1.05322,0.47597,0.2189,0.19228,0.1403,0.47597,0.2189,0.19024,0.13175,1.75235,3.77307,2.36317,1.53389,0.0004258,0.0004258,0.0004258
31,190.771,0.84213,1.37812,1.03363,1.02961,0.57298,0.21379,0.18785,0.13657,0.57298,0.21379,0.18683,0.12727,1.7683,3.79924,2.31067,1.5551,0.000406,0.000406,0.000406
32,195.444,0.86537,1.38997,1.02793,1.03716,0.53484,0.2189,0.18418,0.13694,0.53484,0.2189,0.18224,0.12838,1.73575,3.84056,2.2557,1.51903,0.0003862,0.0003862,0.0003862
33,200.257,0.84122,1.3747,1.03064,1.0461,0.73014,0.21402,0.19497,0.14404,0.73014,0.21402,0.19315,0.13981,1.7244,3.92372,2.31933,1.51741,0.0003664,0.0003664,0.0003664
34,208.031,0.88264,1.43647,1.05389,1.05988,0.80396,0.20427,0.2008,0.15369,0.80396,0.20427,0.19833,0.13945,1.75802,3.8124,2.36453,1.51163,0.0003466,0.0003466,0.0003466
35,212.734,0.8521,1.38487,1.02022,1.0361,0.78831,0.20427,0.20011,0.15072,0.78831,0.20427,0.19614,0.13458,1.75089,3.77895,2.36521,1.52101,0.0003268,0.0003268,0.0003268
36,217.495,0.84054,1.36646,1.00423,1.03969,0.82998,0.20427,0.18773,0.13879,0.82998,0.20427,0.18704,0.13368,1.74719,3.80726,2.35628,1.54256,0.000307,0.000307,0.000307
37,224.74,0.80382,1.33832,0.9753,1.02525,0.7816,0.20427,0.18661,0.14386,0.79503,0.20915,0.1934,0.13227,1.78773,3.84407,2.3761,1.56296,0.0002872,0.0002872,0.0002872
38,230.04,0.80908,1.30793,0.96501,1.01486,0.84368,0.20427,0.19627,0.14769,0.85992,0.20915,0.19712,0.14034,1.77414,4.00362,2.3274,1.55378,0.0002674,0.0002674,0.0002674
39,234.562,0.82271,1.35796,0.97515,1.03297,0.84235,0.20427,0.19425,0.14495,0.85846,0.20915,0.19597,0.13806,1.68132,4.08975,2.3343,1.51348,0.0002476,0.0002476,0.0002476
40,241.134,0.81497,1.32494,0.92812,1.01845,0.76102,0.20915,0.19772,0.15065,0.77667,0.20915,0.19546,0.13742,1.67508,4.07547,2.37435,1.52235,0.0002278,0.0002278,0.0002278
41,250.204,1.03284,1.41019,1.72077,1.12463,0.5555,0.20427,0.19305,0.155,0.81677,0.20427,0.19802,0.14033,1.68151,4.08336,2.41285,1.53479,0.000208,0.000208,0.000208
42,255.36,0.95835,1.40484,1.51741,1.09655,0.57787,0.20146,0.18918,0.13937,0.58873,0.20634,0.19211,0.13068,1.82582,4.01101,2.59974,1.64536,0.0001882,0.0001882,0.0001882
43,262.714,0.93035,1.32597,1.37695,1.06528,0.55743,0.20081,0.17331,0.13204,0.56952,0.20172,0.17757,0.12369,1.88467,3.99263,2.78766,1.67956,0.0001684,0.0001684,0.0001684
44,267.301,0.87619,1.2803,1.29699,1.04849,0.80806,0.20427,0.17933,0.13789,0.82261,0.20915,0.17944,0.13115,1.81565,3.85487,2.70982,1.60574,0.0001486,0.0001486,0.0001486
45,271.403,0.87353,1.18206,1.24818,1.04682,0.83162,0.20427,0.18871,0.14461,0.84652,0.20915,0.18984,0.13776,1.80723,3.84531,2.61886,1.59648,0.0001288,0.0001288,0.0001288
46,276.713,0.87143,1.29111,1.2414,1.0605,0.8326,0.20772,0.19045,0.14702,0.83677,0.20915,0.1958,0.13536,1.7861,3.74655,2.51097,1.58185,0.000109,0.000109,0.000109
47,282.646,0.89435,1.27733,1.25372,1.07947,0.83674,0.20915,0.19816,0.1519,0.84335,0.20915,0.2015,0.14239,1.75491,3.92491,2.45657,1.56924,8.92e-05,8.92e-05,8.92e-05
48,286.803,0.85155,1.24926,1.23889,1.05768,0.84579,0.20427,0.19513,0.15738,0.86256,0.20915,0.19729,0.14044,1.74582,4.03996,2.41526,1.55523,6.94e-05,6.94e-05,6.94e-05
49,291.044,0.88283,1.26522,1.19383,1.05511,0.85748,0.20427,0.19644,0.1553,0.87771,0.20915,0.1989,0.14271,1.72421,4.0531,2.37667,1.5398,4.96e-05,4.96e-05,4.96e-05
50,297.503,0.79951,1.19374,1.14076,1.03999,0.85149,0.20427,0.20105,0.15622,0.87088,0.20915,0.20098,0.14545,1.71835,4.07725,2.339,1.54124,2.98e-05,2.98e-05,2.98e-05
