epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,532.034,1.67859,2.74581,2.19969,1.39069,0.58679,0.24116,0.30828,0.13542,0.58679,0.24116,0.31436,0.14798,2.18139,3.4591,2.62917,1.85268,0.00105492,0.00105492,0.00105492
31,549.313,1.64456,2.7743,2.14222,1.40986,0.5975,0.28615,0.27168,0.13341,0.94354,0.19354,0.27761,0.14489,2.16399,3.10606,2.72778,1.77357,0.00105106,0.00105106,0.00105106
32,565.152,1.65839,2.70128,2.08,1.37748,0.26613,0.30671,0.22094,0.11103,0.34475,0.33035,0.22945,0.12537,2.07644,4.61217,2.67585,1.72152,0.00104708,0.00104708,0.00104708
33,581.867,1.61736,2.73923,2.01828,1.3797,0.17795,0.30633,0.21716,0.1089,0.64719,0.27257,0.27953,0.12238,2.11426,4.17492,2.72583,1.88612,0.00104298,0.00104298,0.00104298
34,598.121,1.5343,2.59129,2.11999,1.3314,0.29836,0.25256,0.19708,0.09568,0.34147,0.26396,0.20063,0.08273,2.07496,4.41206,2.71136,1.81006,0.00103875,0.00103875,0.00103875
35,614.877,1.63045,2.6642,2.06635,1.35403,0.29284,0.26842,0.22684,0.09399,0.39369,0.30624,0.29011,0.13357,2.08366,3.09623,2.74589,1.77019,0.00103442,0.00103442,0.00103442
36,631.98,1.5736,2.67113,1.95509,1.34314,0.23097,0.28179,0.21598,0.10548,0.62489,0.2872,0.25163,0.11492,2.11571,3.22839,2.84476,1.82182,0.00102996,0.00102996,0.00102996
37,649.058,1.53441,2.62903,1.9981,1.33462,0.52535,0.21622,0.24592,0.11672,0.30811,0.32395,0.26473,0.12319,2.20829,3.50835,2.85032,1.84535,0.00102539,0.00102539,0.00102539
38,666.17,1.6872,2.73863,2.04522,1.39581,0.3617,0.29072,0.26223,0.11694,0.37861,0.33001,0.3132,0.13085,2.16601,3.28772,2.66589,1.89388,0.0010207,0.0010207,0.0010207
39,683.76,1.5699,2.71396,1.96693,1.33266,0.47344,0.26482,0.27668,0.15464,0.54849,0.22537,0.27356,0.12907,2.12324,3.22448,2.81133,1.7681,0.0010159,0.0010159,0.0010159
40,704.323,1.55135,2.49175,1.8646,1.31926,0.28371,0.26153,0.22614,0.0908,0.26983,0.28308,0.22223,0.11149,2.1144,3.51628,2.95278,1.81164,0.00101099,0.00101099,0.00101099
41,721.704,1.53227,2.55924,1.89623,1.33295,0.14595,0.28489,0.21781,0.11419,0.58017,0.23121,0.23221,0.125,2.12393,3.49544,3.01492,1.79408,0.00100597,0.00100597,0.00100597
42,738.83,1.56915,2.51024,1.85591,1.32535,0.33215,0.27257,0.22018,0.11058,0.27629,0.32504,0.2477,0.11745,2.09984,3.57162,2.88931,1.84093,0.00100084,0.00100084,0.00100084
43,754.944,1.50728,2.52731,1.85585,1.29252,0.20299,0.326,0.25653,0.15437,0.36123,0.3656,0.28377,0.14724,2.13999,3.10062,2.71539,1.75753,0.000995597,0.000995597,0.000995597
